Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization
ore_ont_6461.owl,53,0,318,264,135,128,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0586,0.0491,0.0057,0.0117,0.008,0.0202
ore_ont_8335.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2793,0.0666,0.0056,0.026,0.0262,0.023
ore_ont_2775.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2837,0.0634,0.0059,0.0283,0.0226,0.023
ore_ont_16827.owl,80,99,442,269,166,103,0,0,93,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0011,0.0494,0.0675,0.0156,0.0535,0.0356,0.0338
ore_ont_14588.owl,26,47,298,237,122,105,10,16,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0012,0.0228,0.0443,0.0091,0.0288,,0.0285
ore_ont_1524.owl,106,100,435,321,117,200,4,6,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0015,0.0411,0.0528,0.0056,0.0292,0.0245,0.0255
ore_ont_9462.owl,104,128,455,350,221,128,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0011,0.0605999999999999,0.05,0.0057,0.0204,0.017,0.0231
ore_ont_15421.owl,74,72,300,223,114,108,1,1,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.002,0.0373,,0.0084,0.0481,0.0388,0.0326
ore_ont_7417.owl,117,63,479,328,168,135,25,12,23,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.0333,0.047,0.0081,0.0316,0.0264,0.0257
ore_ont_3936.owl,122,200,462,332,128,200,4,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0025,0.0386,,0.0062,0.0246,0.0205,0.0281
ore_ont_16723.owl,43,45,345,264,138,110,16,12,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0319,0.0411,0.0081,0.027,0.0225,0.0263
ore_ont_13132.owl,64,98,591,477,146,302,29,20,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0058,0.1732,0.1133999999999999,0.011,0.4466,0.2588,0.0351
ore_ont_13885.owl,36,14,488,397,141,189,67,4,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.0399,0.0636,0.0133,0.0364,0.0271,0.0323
ore_ont_16274.owl,99,115,485,369,126,230,13,6,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.0325,0.056,0.0067,0.0276,0.024,0.0275
ore_ont_3205.owl,59,60,362,287,167,119,1,14,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0022,0.0212,0.0382,0.005,0.0258,0.0222,0.0231
ore_ont_16267.owl,121,163,660,479,172,249,58,0,62,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0021,0.0599,0.0809,0.0131,0.0474,0.0378999999999999,0.0362
ore_ont_16630.owl,30,152,374,290,98,183,8,16,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.2467,0.082,0.0101,0.0369,0.0364,
ore_ont_16814.owl,28,42,364,287,163,102,22,11,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0018,0.2354,0.0567,0.0116,0.1129,0.0891,0.0328
ore_ont_16197.owl,65,58,315,227,109,118,0,6,18,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0009,0.0652,0.0424,0.0071,0.0299,0.0214,0.0296
ore_ont_12150.owl,127,131,445,291,140,132,19,0,28,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0016,0.0341,0.0631,0.0081999999999999,0.0272,0.0272,0.0267
ore_ont_10894.owl,148,109,568,411,169,237,5,6,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0024,0.0519,0.0717,0.006,0.0434,0.0332,0.0287
ore_ont_9928.owl,167,0,671,500,166,333,1,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.1298,0.1147999999999999,0.0059,0.0141,0.0103,0.0259
ore_ont_7789.owl,49,122,538,437,130,290,17,17,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0019,0.0756,0.0654,0.0097,0.0385,0.0263,0.0363
ore_ont_1988.owl,115,94,428,310,100,210,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0018,0.0457999999999999,0.0708,0.0056,0.0324,0.0267999999999999,0.0244
ore_ont_3281.owl,127,83,563,420,189,219,12,6,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0029,0.0712,0.0621,0.0082,0.0476,0.0356,0.0347
ore_ont_11004.owl,29,54,518,405,267,109,29,37,47,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.2563,0.0608,0.0107,0.0293,,0.0312
ore_ont_10199.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0013,0.0663,0.0453,0.0231,0.0365,0.0325,0.0402
ore_ont_7800.owl,36,84,419,336,120,180,36,0,47,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0015,0.0717,0.0464,0.0217,0.0358,0.0264,0.0397
ore_ont_3053.owl,87,85,524,396,203,192,1,20,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.0398
ore_ont_11203.owl,59,48,562,334,94,103,137,0,170,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0017,0.0741,0.062,0.0315,0.1216,0.1247,0.0524
ore_ont_14379.owl,80,45,465,342,200,140,2,23,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,0.0406,,0.0135,0.0636,,0.038
ore_ont_11533.owl,35,25,480,379,195,173,11,43,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.051,0.0713,0.0095,0.0322,,0.0318
ore_ont_11592.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2236,0.062,0.0073,0.0283,,0.0303
ore_ont_16670.owl,49,56,528,411,221,179,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0524,0.0655,0.0097,0.0342,0.0352,0.0298
ore_ont_10580.owl,133,0,695,531,235,273,23,0,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0071,1.2544,0.1192,0.0092,0.0948,0.1585,0.0315
ore_ont_6859.owl,170,81,625,434,167,256,11,8,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.2227,0.0583,0.0074,0.0316,,0.0306
ore_ont_1866.owl,49,56,526,410,221,178,11,44,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0505,0.0647,0.0103,0.0342,0.0447,0.0297
ore_ont_15068.owl,213,166,590,377,211,166,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.001,0.0445,0.0332999999999999,0.0063,0.0282,0.0301,0.0305
ore_ont_13129.owl,40,24,452,366,164,166,34,37,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,0.0651,0.0054,0.032,,0.023
ore_ont_4035.owl,131,0,752,619,235,382,2,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,0.1942,0.1326,0.006,0.4992,0.418,0.027
ore_ont_16033.owl,156,269,530,374,105,269,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0012,0.0221,0.064,0.0055,0.0228,0.0187,0.0273
ore_ont_5074.owl,156,269,530,374,105,269,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0014,0.0243,0.064,0.0055,0.0236,0.0175999999999999,0.0272
ore_ont_13799.owl,46,45,406,349,235,109,5,2,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,0.1362,0.087,0.0164,0.1326,,0.0448
ore_ont_10681.owl,36,56,554,449,140,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0491,0.0669,0.0075,0.0233,,0.0321
ore_ont_12323.owl,83,56,598,447,257,178,12,44,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0555,0.0759,0.0106,0.0459,0.0329,0.0308
ore_ont_14800.owl,83,56,598,447,257,178,12,44,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0508,0.0795,0.0107,0.0448,0.0417,0.0309
ore_ont_1430.owl,46,93,565,483,178,305,0,17,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0021,0.0283,0.057,0.0066,0.0257,0.0227,0.033
ore_ont_14175.owl,100,190,658,463,269,181,13,0,97,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.003,0.0688,0.0861,0.0185,0.0877,0.0843,0.0416
ore_ont_1898.owl,34,56,625,522,195,316,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.059,,0.0096,0.0322,,0.0365
ore_ont_5932.owl,200,105,719,492,191,279,22,0,29,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0018,0.2106,0.0733,0.0097,0.0316,0.0279,0.0355
ore_ont_4133.owl,290,50,757,456,345,110,1,0,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.2214,0.0706,0.0093,0.0651,0.0502,0.0322
ore_ont_13872.owl,159,48,813,522,207,112,203,0,133,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.133,0.4632,0.7199,0.0293,0.2137,0.2039,0.0546
ore_ont_85.owl,32,56,654,554,246,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0569,0.0833,0.0094,0.039,,0.0374
ore_ont_15103.owl,34,56,605,503,195,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0463,0.0882,0.0095,0.0348,,0.0363
ore_ont_13704.owl,17,46,358,301,116,183,2,15,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0356,0.0489,0.0092,0.0262,,0.0304
ore_ont_13833.owl,311,0,1071,757,347,410,0,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0523,0.1490999999999999,0.0068,0.0148,0.0105,0.0298
ore_ont_15514.owl,194,50,613,393,247,132,14,0,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0094,0.08,0.1514,0.0151,38.3522,0.477,0.0403
ore_ont_13584.owl,118,117,1061,825,257,393,175,23,96,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0095,7.4633,,0.0289,0.5329,0.3753,0.065
ore_ont_15291.owl,224,66,868,569,270,180,119,9,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,2.1142,0.099,0.0167,0.2022,,0.0422
ore_ont_5204.owl,71,88,481,364,163,163,38,3,43,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0031,0.4735,0.0622,0.0134,0.0583,0.052,0.038
ore_ont_10009.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0499,0.0829,0.0098999999999999,0.0408,,0.0381
ore_ont_568.owl,254,158,829,535,333,200,2,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0043,0.53,0.1156,0.012,0.1141,0.1076,0.0466
ore_ont_15058.owl,27,48,552,447,272,105,70,38,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,0.2482,0.0684,0.0163,0.0361,0.0282,0.0386
ore_ont_4719.owl,104,160,805,593,347,194,52,56,53,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,1.4509,0.1176,0.0143,0.06,0.04,0.0402
ore_ont_3022.owl,36,56,635,530,221,298,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0503,0.0826,0.0097,0.0416,,0.0378
ore_ont_12369.owl,36,56,634,530,221,298,11,46,23,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.046,0.0826,0.0110999999999999,0.0387,,0.0394
ore_ont_5509.owl,311,417,1029,718,301,417,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0017,0.0448,0.0926,0.0068,0.019,0.0173,0.0323
ore_ont_7988.owl,41,49,663,553,333,215,5,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.0325,0.0814,0.0139,0.0379,,0.0417
ore_ont_15010.owl,178,0,706,519,339,180,0,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.018,0.0516999999999999,0.2286,0.0152,0.1825,0.1087,0.0372
ore_ont_12112.owl,50,62,452,340,208,121,11,43,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0481,0.0672,0.009,0.03,0.0343,0.0291
ore_ont_13398.owl,136,0,947,808,413,392,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0057,0.1955,0.1322,0.0061,1.0497,0.9941,0.0289
ore_ont_7011.owl,244,180,859,602,403,190,9,1,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0585,0.6098,0.6094,0.0852,0.4847,0.3776,0.1196
ore_ont_7179.owl,84,57,588,422,226,123,73,19,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.039
ore_ont_15596.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,2.6785,0.0887999999999999,0.0165,0.2286,,0.0438
ore_ont_7894.owl,253,0,1242,987,368,619,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0390999999999999,0.1485,0.0064,0.014,0.0109,0.0321
ore_ont_8975.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0041,2.6718,0.0958,0.0158,0.2069,,0.044
ore_ont_10571.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,2.6414,0.1031,0.0157,0.2415,,0.0442
ore_ont_14185.owl,340,482,1152,812,330,482,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.002,0.0503,0.0991,0.0063,0.0207,0.0175999999999999,0.0342
ore_ont_9690.owl,85,204,875,691,228,448,15,29,71,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0014,0.0535,0.0711,0.0136,0.0371,0.0367,0.0429
ore_ont_8362.owl,26,100,713,627,170,445,12,23,38,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0082,,0.1575,0.0353,,,0.0455
ore_ont_12566.owl,170,75,904,605,463,108,34,24,106,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0124,0.2450999999999999,0.1463,0.0447,0.1158,,0.0724
ore_ont_2303.owl,142,0,1061,917,379,537,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,0.1598,0.1164999999999999,0.0058,0.0469,0.037,0.0305
ore_ont_13805.owl,75,161,674,587,163,416,8,1,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.8716,0.4895,5.7849,0.0087,0.3197,,0.049
ore_ont_7668.owl,74,161,689,603,179,416,8,1,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.2728,0.7733,7.8277,0.0244,0.681,,0.0744
ore_ont_11978.owl,67,118,727,579,226,299,54,0,81,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0024,0.125,0.074,0.053,0.0872,0.067,0.0722
ore_ont_1172.owl,67,118,727,579,226,299,54,0,81,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0026,0.1398,0.0691,0.0526,0.1055,0.0692,0.0721
ore_ont_8502.owl,142,392,955,810,417,392,1,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0047,0.0359,0.1363,0.006,0.0221,0.0138,0.0315
ore_ont_3708.owl,56,16,669,541,365,110,66,5,68,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0023,0.3284,0.064,0.0208,0.052,0.0372,0.0415
ore_ont_5033.owl,62,16,684,548,371,110,67,5,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0024,0.3036,0.0565,0.0201,0.0397,0.0368999999999999,0.0419
ore_ont_11416.owl,65,193,863,602,381,184,37,133,63,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.6503,0.121,0.0129,0.0486,0.0358,0.0403
ore_ont_1853.owl,57,16,693,556,377,110,69,7,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0026,0.3342,0.0561,0.0207,0.0454,0.0328,0.0426
ore_ont_14388.owl,216,138,1302,896,256,297,343,0,191,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0044,0.2678,0.0888999999999999,0.044,0.1293,0.1148,0.0801
ore_ont_13035.owl,222,146,1296,885,311,297,277,0,191,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0066,3.7192,0.1145,0.0467,0.1833,0.1522,0.088
ore_ont_2526.owl,65,16,693,554,374,110,67,5,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0029,0.2925,0.0591999999999999,0.0194,0.0538,0.0561,0.0254
ore_ont_12721.owl,61,172,766,631,182,388,61,0,74,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0028,0.0791,0.0755,0.0344,0.0498,0.0431999999999999,0.0555
ore_ont_5205.owl,374,373,1117,742,369,373,0,1,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0018,0.079,0.0737,0.0081,0.0461,0.04,0.0397
ore_ont_3411.owl,128,244,844,708,197,507,4,3,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.3415,0.3565,2.1455,0.0234,1.0721,0.6063000000000001,0.0597
ore_ont_3966.owl,590,0,1390,800,617,182,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0104999999999999,0.1352,0.1862,0.0095,0.0321,0.0213,0.034
ore_ont_1869.owl,381,373,1126,745,372,373,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0022,0.0859,0.0655,0.0079,0.0445,0.0273,0.0395
ore_ont_6615.owl,66,16,711,567,383,110,73,5,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0024,0.3514,0.063,0.0215,0.0642,0.053,0.0259
ore_ont_2608.owl,453,212,1331,877,665,212,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0087999999999999,0.1082,0.1115,0.0082,0.0939,0.0813,0.0404
ore_ont_16481.owl,77,161,747,657,211,437,9,1,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.8061,9.1106,,0.1475,3.5412,,0.2064
ore_ont_14883.owl,125,23,742,562,393,114,55,0,56,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0071,0.8339,0.1143,0.0372,,,0.0648
ore_ont_4875.owl,464,0,1251,785,506,279,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0167,0.0662,0.2451,0.0084,0.019,0.0105,0.0329
ore_ont_8460.owl,128,23,752,567,401,110,56,0,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.8922,0.1056,0.0393,,,0.0679
ore_ont_2744.owl,289,29,1052,689,548,134,7,30,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,1.0139,0.1081,0.0137,0.0923,,0.0406
ore_ont_1784.owl,194,23,859,607,452,101,54,0,59,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.0461,0.0814,0.0318,0.3871,0.3151,0.0575
ore_ont_4315.owl,162,98,995,646,322,163,161,0,187,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0026,0.0846,0.0954,0.0363,0.1908,0.142,0.0586
ore_ont_10314.owl,98,478,1045,767,289,478,0,0,180,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.003,0.0767,0.1287,0.0345,0.1425,0.1505,0.0622
ore_ont_1537.owl,643,194,1522,879,685,194,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0037,0.0834999999999999,0.1091,0.0098,0.0315,0.026,0.036
ore_ont_15652.owl,62,197,824,714,492,221,1,37,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0021,0.0244999999999999,0.0679,0.0066,0.0339,0.0281,0.0308
ore_ont_7342.owl,88,88,839,749,101,647,1,1,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0275,0.2447,0.198,0.0056,0.1193,,0.0373
ore_ont_3259.owl,180,119,1141,757,358,220,179,0,204,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0036,0.1058,0.1066,0.0415,0.2213,0.1982,0.0648
ore_ont_6258.owl,215,23,956,678,517,101,60,0,64,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.2233,0.0867,0.0385,0.5217,0.4038,0.0636
ore_ont_2556.owl,181,92,1088,703,360,163,180,0,204,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0031,0.099,0.111,0.0393,0.2217,0.182,0.0644
ore_ont_5014.owl,20,83,1026,917,255,643,19,78,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0033,,,,,,0.0443
ore_ont_5216.owl,718,1,1791,1072,725,346,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.1847,0.1244,0.0096,0.0237,0.0197,0.0372
ore_ont_6272.owl,77,161,747,657,211,437,9,1,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.0327,9.8422,,0.1504,1.9616,,0.2131
ore_ont_1705.owl,39,297,952,908,116,792,0,0,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0028,0.0282,0.0626,0.0063,0.0291,0.0211,0.0398
ore_ont_13762.owl,12,115,610,521,84,382,55,0,79,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.147,0.0631,0.0150999999999999,0.0263,0.0220999999999999,0.0387
ore_ont_934.owl,109,147,1099,909,490,376,43,25,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,69.4365,,565.3359,0.5438,56.4467,57.4834,0.7731
ore_ont_586.owl,20,139,765,692,192,500,0,34,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,0.0392,0.1110999999999999,0.0126,0.0417,,0.0521
ore_ont_6720.owl,313,979,1635,1322,323,999,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,0.1093
ore_ont_10320.owl,323,103,1195,803,457,315,31,22,48,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,1.3451,0.1083,0.0153,0.0767,,0.0478
ore_ont_6983.owl,323,103,1196,804,458,315,31,22,48,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,1.375,0.1131,0.0159,0.0873,,0.048
ore_ont_11016.owl,68,109,757,650,227,415,8,10,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0366,0.2334,,0.0107,0.0945,0.0612,0.0477
ore_ont_15682.owl,178,138,896,677,347,321,9,7,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,3.7205,2.3898,,2.0151,,0.144
ore_ont_11577.owl,268,197,1468,1111,914,197,0,0,89,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0019,0.0646,0.1249,0.0201,0.0895,0.0574,0.0428
ore_ont_8948.owl,342,103,1284,851,480,315,56,22,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,1.4477,0.1130999999999999,0.0219,0.0835,,0.056
ore_ont_16191.owl,362,103,1282,847,501,315,31,22,52,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,1.4682,0.1064,0.0166,0.0867,,0.0494
ore_ont_16115.owl,677,157,1507,830,673,157,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0019,0.0962,0.0714,0.0093,0.0496,0.0378,0.0413
ore_ont_5564.owl,371,103,1313,870,524,315,31,22,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0048,1.5034,0.1279,0.0185,0.0721,,0.0503
ore_ont_8355.owl,68,189,1015,864,234,562,68,0,83,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0032,0.1125,0.0817,0.0511,0.0764,0.0698,0.0767
ore_ont_11694.owl,203,282,1233,987,205,756,26,0,45,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0028,0.4529,0.0970999999999999,0.0132,0.045,0.0431999999999999,0.0545
ore_ont_155.owl,379,82,1243,738,580,121,37,0,128,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0066,0.2143,0.1412,0.0255,0.1334,0.1066,0.056
ore_ont_3726.owl,179,222,1139,925,206,704,11,16,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,,0.0957,,0.038,,0.0273
ore_ont_7278.owl,179,222,1139,925,206,704,11,16,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,,0.1032999999999999,0.0106,0.0447,,0.027
ore_ont_2488.owl,434,159,1402,899,534,315,50,0,71,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0072,1.0929,0.1535,0.0166,0.1221,0.0922,0.051
ore_ont_3566.owl,170,185,913,722,169,523,30,1,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0028,0.469,0.075,0.009,0.0569,,0.0382
ore_ont_1958.owl,652,179,1692,1022,818,189,15,1,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.064,1.5455,0.6705,0.1006,0.5483,0.3877,0.1384
ore_ont_10230.owl,24,162,907,819,233,586,0,38,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0032,0.0557,0.1449,0.0203,0.0555,,0.0614
ore_ont_15753.owl,55,41,543,430,195,140,0,40,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0012,,0.0701,0.0079,,,0.0216
ore_ont_13898.owl,434,103,1440,934,588,315,31,22,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.609,0.114,0.0173,0.0864,,0.0517
ore_ont_6857.owl,422,103,1456,944,587,315,42,27,64,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0047,1.6816,0.1425,0.0234,0.1143,,0.0577
ore_ont_12932.owl,270,1224,1745,1475,251,1224,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0039,0.0755,0.0989999999999999,0.0072,0.0491,0.0363,0.0575
ore_ont_4983.owl,485,159,1518,961,595,315,51,0,74,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0073,1.1817,0.1653,0.0196,0.1221,0.109,0.0531
