Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0038,0.0197,0.0063,0.0275,0.0131,0.0112
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0293,0.0069999999999999,0.0313,0.013,0.0128
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.004,0.0278,0.0066,0.0286,0.014,0.0117
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0039,0.0185,0.0066999999999999,0.0269999999999999,0.0143,0.0121
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0035,0.0209,0.0065,0.0259,0.0125999999999999,0.0117
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.004,0.0192,0.0063,0.0283,0.0120999999999999,0.0115
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,0.0159,0.0078,0.0282,0.0146,0.0119
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.004,0.0178,0.0062999999999999,0.0266999999999999,0.0139999999999999,0.0138
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,0.0202,0.0066,0.0281,0.0129,0.0116
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0038,0.0163,0.0068,0.0271,0.0124,0.0116
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0069999999999999,0.0174,0.0062999999999999,0.0275,0.0132,0.0128
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0063,0.0198,0.0066,0.0272,0.0138,0.0121
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.009,0.0231,0.007,0.0286,0.0134999999999999,0.0123
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,0.0206,0.0069,0.0287,0.0147999999999999,0.0119
ore_ont_1420.owl,42,0,158,81,77,0,4,0,36,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0037999999999999,0.0175,0.0070999999999999,0.0279,0.0130999999999999,0.0118
ore_ont_1526.owl,41,8,152,75,67,8,0,1,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0168,0.007,0.0267,0.013,0.0129
ore_ont_4856.owl,61,1,177,77,76,1,0,0,41,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0039,0.0191,0.0074,0.0265,0.0144,0.012
ore_ont_2485.owl,5,3,226,113,110,3,0,107,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0055,0.0288,0.0071,0.0272999999999999,0.0138,0.0116
ore_ont_5107.owl,50,24,182,126,102,24,0,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,0.0228,0.0078,0.0314,0.0153,0.0134
ore_ont_7639.owl,15,0,218,141,123,0,18,27,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0054,0.0337,0.0073,0.0298,0.0153999999999999,0.0127
ore_ont_13429.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0036999999999999,0.0184,0.0062999999999999,0.0266999999999999,0.0136,0.0116
ore_ont_9854.owl,61,0,170,96,96,0,0,0,14,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0043,0.0175999999999999,0.0063,0.0279,0.014,0.0133
ore_ont_15167.owl,53,0,335,206,177,0,29,20,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0061,0.0383,0.0084,0.0323,0.0172,0.0155
ore_ont_13306.owl,40,0,195,99,89,0,10,8,49,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,0.0348,0.0078,0.0272,0.0142,0.0138
ore_ont_5292.owl,70,18,193,88,57,18,13,3,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043999999999999,0.0269,0.0074,0.0266,0.0135,0.013
ore_ont_5255.owl,89,0,207,115,112,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,0.0214,0.0066,0.0279,0.0129,0.012
ore_ont_8667.owl,87,0,167,79,79,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0038,0.0186,0.0065,0.0271,0.0122,0.0117
ore_ont_8974.owl,15,0,157,95,95,0,0,0,49,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0047,0.0206,0.0075,0.0289,0.0139,0.0126
ore_ont_3330.owl,50,0,193,116,110,0,6,11,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.0304,0.0071,0.0283,0.0142,0.0141
ore_ont_1967.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0076,0.019,0.0076999999999999,0.0285,0.0144,0.013
ore_ont_15399.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0065,0.0186,0.0069,0.0278,0.0144999999999999,0.0118
ore_ont_5852.owl,74,0,134,60,60,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0027,0.0178,0.0065,0.0254,0.0127999999999999,0.0116
ore_ont_10174.owl,133,0,266,133,133,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0066,0.0202,0.0071,0.0271,0.0133,0.0122
ore_ont_13392.owl,124,0,265,136,132,0,4,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0057,0.0195,0.0072,0.0272,0.0136,0.0127
ore_ont_3671.owl,17,1,282,182,145,3,34,25,59,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0047,0.037,0.0076,0.0298,0.0177,0.0133
ore_ont_3909.owl,76,0,139,62,62,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0036,0.0175,0.0061999999999999,0.0278,0.0127999999999999,0.0133
ore_ont_2036.owl,64,5,203,94,89,5,0,0,46,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0045,0.0196,0.0069,0.0282,0.0153999999999999,0.0119
ore_ont_508.owl,66,5,205,95,90,5,0,0,46,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0061,0.019,0.0073,0.028,0.0147999999999999,0.0136
ore_ont_9867.owl,94,0,239,137,134,0,3,0,8,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0042,0.0191,0.0069,0.0292,0.0147,0.0138
ore_ont_16351.owl,71,0,194,98,98,0,0,0,26,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0039,0.0176,0.0066,0.0281,0.0137,0.012
ore_ont_12957.owl,99,0,195,94,94,0,0,0,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0042,0.0196,0.0076,0.0272999999999999,0.0152,0.0138
ore_ont_15318.owl,59,0,229,124,105,0,19,30,16,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0048,0.0307,0.0076,0.0277,0.0147,0.0137
ore_ont_6635.owl,44,2,245,158,156,2,0,11,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,0.0082,0.0308,0.0159,0.0135
ore_ont_16850.owl,37,0,205,129,119,0,10,20,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0299,0.0062999999999999,0.028,0.0148,0.0128
ore_ont_4106.owl,56,0,224,127,117,0,10,0,42,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,0.0215999999999999,0.0069999999999999,0.0294,0.0154,0.0132
ore_ont_2038.owl,51,0,284,232,128,103,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0051,0.024,0.0083,0.0312,0.0162,0.013
ore_ont_3842.owl,98,0,200,96,96,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0046,0.018,0.0064999999999999,0.0283,0.0133,0.012
ore_ont_9709.owl,24,13,233,175,102,35,38,26,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0048,0.0299,0.0066999999999999,0.0303,0.0145,0.0142
ore_ont_13204.owl,35,0,215,180,180,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0038,0.0249,0.0059,0.0305,0.0157,0.0164
ore_ont_10321.owl,13,5,150,94,90,4,0,32,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0309,0.0071,0.0278,0.0120999999999999,0.0112
ore_ont_12360.owl,28,8,325,210,157,18,35,27,61,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,0.0388,0.0087,0.0308,0.0187,0.0147
ore_ont_5646.owl,113,0,257,138,132,0,6,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0051,0.0220999999999999,0.0073,0.0283999999999999,0.0138,0.0139
ore_ont_13277.owl,72,0,182,87,86,0,1,0,24,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0077,0.0182,0.0073,0.0284,0.0137,0.0134
ore_ont_9600.owl,92,0,259,136,113,0,23,1,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0313,0.0089,0.0305,0.0172,0.0142
ore_ont_3341.owl,15,0,194,139,135,0,4,40,0,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.01,0.03,0.0070999999999999,0.0303,0.0139999999999999,0.0122
ore_ont_8169.owl,133,0,290,155,154,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0054,0.0203,0.0071,0.0304,0.0158999999999999,0.0136
ore_ont_14931.owl,104,17,288,172,149,17,6,4,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0057,0.0344,0.0073,0.0317,0.0155,0.0136
ore_ont_6461.owl,53,0,318,264,135,128,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,0.0224,0.0101,0.034,0.0152,0.0141
ore_ont_10019.owl,48,0,202,150,141,0,9,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,0.0327999999999999,0.0070999999999999,0.0327,0.0148,0.0142
ore_ont_14128.owl,82,0,198,94,94,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0037,0.0177,0.0066999999999999,0.0283,0.014,0.0129
ore_ont_8128.owl,44,0,307,152,152,0,0,0,112,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.006,0.0209999999999999,0.0084,0.0288,0.0139,0.0134
ore_ont_15667.owl,25,24,259,201,114,78,9,14,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.005,0.0335,0.0078999999999999,0.0323,0.02,
ore_ont_4855.owl,127,0,251,124,124,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0046999999999999,0.0192,0.0072999999999999,0.028,0.0136,0.0145
ore_ont_7482.owl,63,0,178,115,115,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0041,0.0184,0.0061999999999999,0.0278,0.0139,0.0123
ore_ont_16076.owl,189,0,376,186,186,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0054,0.0218,0.0078,0.0293,0.0152,0.0127
ore_ont_7270.owl,85,0,206,99,99,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0048,0.0208,0.0076,0.0303,0.0133999999999999,0.0123
ore_ont_14328.owl,79,0,267,148,124,0,24,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0072,0.0233999999999999,0.0078,0.0312,0.015,0.0149
ore_ont_16461.owl,92,0,237,130,117,0,13,0,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0052,0.0492,0.0071,0.0301999999999999,0.0180999999999999,0.0173
ore_ont_15800.owl,192,0,385,193,193,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0089,0.0210999999999999,0.0074,0.0295999999999999,0.0164,0.0148
ore_ont_9635.owl,97,3,294,171,160,6,5,6,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0326,0.0086,0.0301,0.0176,0.0141
ore_ont_13018.owl,176,0,351,175,175,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0049999999999999,0.0204999999999999,0.0072,0.0291999999999999,0.0148,0.0138
ore_ont_16167.owl,40,0,228,142,137,0,5,17,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.029,0.0074,0.0294,0.0133,0.0132
ore_ont_11834.owl,36,0,311,229,145,0,84,0,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.0713999999999999,0.0075,0.0306,0.0166,0.0152
ore_ont_9422.owl,49,0,226,148,112,0,36,5,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,0.0387,0.0073,0.0291,0.014,0.0131
ore_ont_1222.owl,42,0,320,238,234,0,4,7,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0056,0.0378999999999999,0.0075,0.033,0.0187,0.0145
ore_ont_13643.owl,176,0,357,181,181,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0049999999999999,0.0222,0.0075,0.0294,0.0155,0.0145
ore_ont_15210.owl,31,7,341,224,132,5,87,6,81,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.0617999999999999,0.0081,0.0309,0.0159999999999999,0.0142
ore_ont_11357.owl,44,0,287,197,194,0,3,24,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0056,0.0367999999999999,0.0074,0.0328,0.015,0.0148
ore_ont_13483.owl,48,4,220,133,128,2,3,26,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0044,0.0314,0.008,0.0298,0.0148,0.0133
ore_ont_8047.owl,16,2,274,211,208,3,0,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0037,0.0299,0.0068,0.0333,0.0162,0.014
ore_ont_9994.owl,28,43,289,205,151,52,2,32,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0051,0.035,0.0077,0.031,0.016,0.0144
ore_ont_1618.owl,36,0,216,144,141,0,3,23,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,0.0309999999999999,0.0072,0.0293,0.0137,0.013
ore_ont_7464.owl,32,1,239,160,155,1,4,27,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0047,0.0324,0.0072,0.0295,0.0170999999999999,0.0134
ore_ont_6735.owl,214,0,427,213,213,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.005,0.0228,0.0077,0.03,0.017,0.0136
ore_ont_10176.owl,171,0,278,104,104,0,0,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0067,0.0317,0.0073999999999999,0.0331,0.0164,0.0125
ore_ont_15229.owl,93,0,221,123,118,0,5,2,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0076,0.0355,0.0079,0.0298,0.0158,0.015
ore_ont_12101.owl,33,1,243,162,157,1,4,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0047,0.0307999999999999,0.0073999999999999,0.0299,0.0152,0.0147
ore_ont_14486.owl,117,0,245,128,128,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0037,0.0191,0.0069999999999999,0.0299,0.0153,0.0125
ore_ont_8094.owl,45,0,297,212,162,0,50,0,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053,0.0363999999999999,0.0072,0.0312,0.0151,0.0159
ore_ont_714.owl,23,7,302,227,131,9,79,9,44,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0083,,0.0076999999999999,0.0334,0.0200999999999999,0.0159
ore_ont_10264.owl,63,0,325,186,124,0,62,0,76,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0053,0.0217,0.0074,0.0289,0.0141,0.0123
ore_ont_13737.owl,69,58,315,206,130,58,18,6,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0078999999999999,0.0392,0.0086,0.0333,0.0175,0.0148
ore_ont_5696.owl,124,0,382,258,258,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0048,0.0253,0.0064,0.0306,0.0158,0.0161
ore_ont_3806.owl,116,19,334,213,189,21,3,0,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053,0.0279,0.0072,0.0354,0.0188,0.0177
ore_ont_3504.owl,52,2,242,148,125,0,23,7,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,0.0355,0.0075,0.0304,0.0151999999999999,0.0134
ore_ont_2652.owl,93,0,352,209,143,0,66,0,51,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0053999999999999,0.0251,0.0076,0.033,0.0165,0.0125
ore_ont_2654.owl,172,1,390,217,216,1,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.004,0.021,0.0078999999999999,0.0317,0.0158,0.0146
ore_ont_3250.owl,87,3,252,157,142,6,9,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053999999999999,0.0334,0.0073999999999999,0.0337,0.0174,0.0169
ore_ont_8335.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0055,0.0245,0.0098,0.0336,0.0162,0.0122
ore_ont_2775.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,0.0234,0.0101999999999999,0.0333,0.0139,0.0128
ore_ont_3082.owl,121,0,241,120,120,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0043,0.0203,0.0071,0.0283999999999999,0.014,0.0124
ore_ont_9031.owl,197,0,419,216,216,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0068,0.0236,0.0075,0.0305,0.0161,0.0152
ore_ont_8665.owl,148,0,390,234,227,0,7,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0052,0.0290999999999999,0.0073999999999999,0.0321,0.017,0.0144
ore_ont_16827.owl,80,99,442,269,166,103,0,0,93,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0125,0.0234999999999999,0.0089,0.0336,0.0186,0.0142
ore_ont_11380.owl,128,0,409,218,162,0,56,0,63,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0066,0.0284,0.0083,0.0327,0.0167,0.0131
ore_ont_13759.owl,140,0,313,154,149,0,5,9,10,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0106,0.0343,0.007,0.0283999999999999,0.0153,0.0128
ore_ont_2012.owl,72,0,368,225,103,0,122,3,69,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0052,0.0426,0.0075,0.0343,0.0167,0.0137
ore_ont_7517.owl,79,41,241,149,96,45,8,5,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.005,0.0354,0.0084,0.0328,0.019,0.0167
ore_ont_13530.owl,234,0,470,235,235,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0063999999999999,0.0261999999999999,0.0081999999999999,0.0291999999999999,0.0161,0.0167
ore_ont_10413.owl,69,2,361,205,136,1,68,0,87,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0052,0.0193,0.0079,0.0301,0.0155,0.0121
ore_ont_4724.owl,67,0,350,198,132,0,66,0,85,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0055,0.0232,0.007,0.0307,0.0152,0.0129
ore_ont_4223.owl,75,0,213,128,113,0,15,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.0278,0.0068,0.0308,0.0146,0.0128
ore_ont_12906.owl,80,0,168,88,88,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0037,0.0175,0.0062999999999999,0.0277,0.0144,0.0125
ore_ont_14588.owl,26,47,298,237,122,105,10,16,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.005,0.0387,0.0083,0.0347,0.0204,
ore_ont_15993.owl,26,0,334,241,128,0,94,3,68,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0038,,0.0075,0.0371,0.0192,0.0158
ore_ont_3463.owl,123,0,245,122,122,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.004,0.0195,0.0066,0.0277,0.0141,0.0134
ore_ont_5303.owl,95,0,336,234,224,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0051,0.0342,0.0073,0.0333,0.0167,0.0145
ore_ont_12118.owl,8,8,307,190,94,6,90,0,110,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0053,0.0225,0.0078999999999999,0.0325,0.0147,0.013
ore_ont_12948.owl,34,32,322,242,148,74,20,26,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0355,0.0083,0.035,0.0204,0.0163
ore_ont_11895.owl,123,13,309,182,156,26,0,2,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0065,0.0363,0.0076999999999999,0.0308,0.0214,0.0141
ore_ont_14412.owl,36,0,383,290,191,0,99,3,54,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0052999999999999,0.0931,0.0072,0.0334,0.0154999999999999,0.0136
ore_ont_5090.owl,144,0,384,237,237,0,0,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0046,0.0219,0.0076,0.0316,0.0161,0.014
ore_ont_10536.owl,8,10,307,191,94,7,90,0,109,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0062,0.0214,0.0078999999999999,0.0323,0.0143,0.0149
ore_ont_7969.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0098999999999999,0.0184,0.0064,0.0278999999999999,0.0132,0.0124
ore_ont_2876.owl,82,0,179,93,93,0,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.005,0.0180999999999999,0.0062999999999999,0.0272999999999999,0.0136,0.0134
ore_ont_1524.owl,106,100,435,321,117,200,4,6,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.006,0.0327,0.0083,0.0348,0.0214,0.0175
ore_ont_15145.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0042,0.0174,0.0061,0.0273999999999999,0.0143999999999999,0.0121
ore_ont_2697.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0039,0.0168,0.0064,0.0274,0.0147,0.0136
ore_ont_11866.owl,69,2,357,205,136,1,68,0,83,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0076,0.0211,0.0076,0.031,0.015,0.0135
ore_ont_3775.owl,66,0,425,278,277,0,1,63,18,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0052999999999999,0.0357,0.0081,0.032,0.0165,0.0132
ore_ont_9462.owl,104,128,455,350,221,128,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0054,0.0218,0.0081999999999999,0.0344,0.0186,0.0159
ore_ont_8666.owl,82,125,347,249,111,137,1,4,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,0.0332,0.0089,0.0373999999999999,0.0185,0.0152
ore_ont_7962.owl,34,2,346,237,225,6,6,41,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0044,0.0385,0.0078999999999999,0.033,0.0169999999999999,0.0121
ore_ont_1997.owl,94,0,334,233,223,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0056,0.0345,0.0076999999999999,0.0332,0.0197,0.0153
ore_ont_4897.owl,143,0,432,255,217,0,38,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0066,0.0264,0.0087999999999999,0.0324,0.0191,0.0145
ore_ont_11133.owl,167,0,425,249,247,0,2,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0044,0.0219,0.0081,0.0327,0.0161,0.0135
ore_ont_15160.owl,73,0,378,216,144,0,72,0,89,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.006,0.0251,0.0077,0.0309,0.0144,0.0134
ore_ont_15421.owl,74,72,300,223,114,108,1,1,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0049,0.0314,0.0078999999999999,0.0401,0.0209,0.0157
ore_ont_1746.owl,151,0,301,150,150,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0053,0.0208,0.0069,0.0288,0.0142,0.0134
ore_ont_14926.owl,240,0,479,239,239,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0049,0.0271,0.0082,0.0308,0.0154,0.0158
